sourceid_uber,name,image_url,Coke_shows,city,food_type,Coke_in_Menu
abf0d5ec-944c-4bb2-824f-a873c7ea93ef,None,https://d1ralsognjng37.cloudfront.net/b6caf56a-4163-4b3a-a095-5f219013f912,Coke,None,None,None
3e7e5339-6489-4dd0-8d37-8c37c3d0798d,None,https://d1ralsognjng37.cloudfront.net/e7899fb5-3984-4523-aeed-f0febc24165a,Coke,Melbourne,American,coke
37e64fab-702b-4cc7-af71-651042335b55,None,https://d1ralsognjng37.cloudfront.net/66cbd67a-9860-4158-a5aa-db865c7ced6d,Coke,Christchurch,American,not-coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/ca5dd4ff-a0d8-4aea-9c89-60441e85e764,Coke,Christchurch,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/dd556671-e452-44e7-886d-e8936bd79ce6,Coke,Christchurch,American,coke
7e7e8e7a-ec65-43f3-8bd6-99a84f09849e,None,https://duyt4h9nfnj50.cloudfront.net/sku/10b7a64a6ca78994db9ccdcf6a1e76e0,Coke,None,None,None
efddf9d7-6b51-4327-87f9-e9a0b4c10d54,None,https://duyt4h9nfnj50.cloudfront.net/sku/949925e9ad8f4924473ad7cf0e93ff16,Coke,None,None,None
9c95745c-84e0-4177-95b7-e1b884e45712,None,https://duyt4h9nfnj50.cloudfront.net/sku/419cba0cd85b19a69d66e601c048c9da,Coke,None,None,None
ae04e25a-f74c-4076-8988-ab8066af9f81,None,https://duyt4h9nfnj50.cloudfront.net/sku/8fde75d3c717be068c045e8da1969ab0,Coke,Perth,Greek,coke
b01dec1f-127e-4eac-a562-9983f9d48309,None,https://duyt4h9nfnj50.cloudfront.net/sku/58c4c1ede84e7ed0ae29bbe38ebf48c4,Coke,None,None,None
0462afc4-8c00-4ee5-a033-ec551c913694,None,https://duyt4h9nfnj50.cloudfront.net/sku/354071c77205017d453f671c373ca7c2,Coke,None,None,None
